feature,gain_0,gain_1,gain_2,gain_3,gain_4,gain_5,gain_6,avg_gain
merchant_id_te,271918.9346745014,274903.73413169384,276353.55758178234,275796.29000771046,269608.8487792015,270999.99793314934,275446.9395887852,273575.471813832
um_item_cnt,44481.06441473961,47525.211602211,55300.176021933556,49034.91004538536,49877.79188501835,55216.54062986374,58042.99865794182,51354.09903672763
um_purchase,52031.553960084915,47599.03440666199,44575.120882987976,51474.724215745926,46144.76741480827,51619.139731407166,45754.87644147873,48457.03100759642
um_first_time,33752.24717140198,34127.52741706371,35128.99559354782,32458.50183749199,34099.277237415314,29351.606904745102,29903.25406050682,32688.77288888182
um_cat_cnt,25341.77310037613,29561.170813798904,26209.574269533157,26225.429370880127,30567.66668534279,24816.72925710678,23661.187125444412,26626.218660354614
user_recent_ratio,21665.393463134766,23958.741766691208,23770.75234925747,25554.190452218056,25176.751648306847,24889.34403038025,25096.40078520775,24301.653499313765
merchant_user_engagement,22604.98879790306,21393.319639086723,21085.95120692253,20726.72692513466,22936.471664190292,20077.911610484123,22432.491243124008,21608.26586954934
user_total_purchase,19037.9398124218,19597.690608620644,19152.384757637978,18554.058478593826,21615.824874162674,19857.98847591877,20418.38882601261,19747.753690481186
um_brand_diversity,18765.901509046555,18575.205311656,21080.280262589455,19979.118156433105,19495.76211285591,20179.066508173943,19580.15046453476,19665.069189327103
user_merchant_purchase_ratio,15985.831565856934,18368.96284854412,17761.192687630653,15979.194280385971,17112.498616576195,17013.870497226715,17533.76645886898,17107.902422155654
total_um_actions,14549.62080669403,15921.027000665665,16486.20537674427,15061.910066843033,15495.27631020546,18250.144831061363,16304.345762133598,16009.790022049632
merchant_purchase_rate,15418.644822716713,16586.290795207024,14276.237683176994,16164.397657990456,15836.093364357948,12526.959676504135,15909.96434032917,15245.512620040348
user_brand_diversity,13897.407533288002,15773.934570670128,13452.243443250656,16279.346009969711,14327.213858127594,16232.835326910019,16069.709998965263,15147.527248740196
merchant_item_cnt,13052.963222026825,14941.47647511959,13691.91135585308,13982.92679798603,14314.341750264168,13961.646371722221,15460.534182786942,14200.828593679837
merchant_user_cnt,13050.092287302017,13885.895593047142,12377.899800658226,12018.609194874763,15218.20186829567,13266.624011874199,14234.566757917404,13435.984216281346
age_x_merchant_purchase_rate,10638.737844944,11071.605957269669,11168.604285597801,11874.583149313927,11195.007581472397,11218.404312610626,12376.476308465004,11363.34563423906
user_conversion_rate,11261.628072738647,11762.74924480915,10310.696146130562,10429.053982496262,11154.088622450829,11449.00777733326,11026.751342654228,11056.282169801849
user_recent_actions,8007.776118397713,9707.922791361809,9243.421624422073,9927.075426459312,8940.197366833687,9246.346054673195,9999.208942770958,9295.992617845535
um_rate_since_1100,7141.99302983284,10197.80398285389,8798.454333901405,7718.438150405884,8004.991384148598,10197.235991954803,11251.267074584961,9044.311992526054
merchant_recent_ratio,6389.2359936237335,9932.484568119049,8584.235181331635,10093.900893330574,9432.705216169357,8270.955214619637,9615.706885695457,8902.746278984207
merchant_brand_diversity,7115.575623631477,8333.542118668556,7792.475446939468,5828.268045902252,8050.008399963379,8477.934912323952,8638.99860548973,7748.11473613126
age_x_purchase_rate,6598.914884328842,7131.021912932396,6813.172878026962,7652.0220638513565,5746.169411182404,8356.573093771935,7347.668029785156,7092.220324839865
user_purchase_rate,6899.5117346048355,7717.461237311363,6301.436533212662,6587.989588141441,7914.880260109901,7412.020135998726,6776.351849555969,7087.093048419271
user_action_std,5978.558579206467,7714.97206389904,6277.94175195694,8477.0882512331,6053.101686239243,6505.8566373586655,6993.531689167023,6857.292951294354
user_id_te,6570.309564948082,6412.344608306885,7332.743581533432,6718.310862541199,5902.853985548019,5885.996227502823,6507.238163352013,6475.685284818922
user_merchant_cnt,4902.906400918961,6128.946829915047,6478.605165719986,7236.316919565201,6281.659743785858,5599.815827965736,7254.97746348381,6269.032621622086
user_item_cnt,4060.6199564933777,5042.6645658016205,4652.169927120209,3894.115677833557,4967.475411534309,5325.253387331963,7550.928819060326,5070.461106453623
gender_x_purchase_cnt,2855.4751546382904,3694.957249045372,3623.040996670723,3202.0389775037766,3300.58915245533,4703.552995085716,3740.18607878685,3588.5486577408656
merchant_brand_cnt,2299.767530441284,2854.272280693054,1954.3200755119324,2132.42733502388,2940.00872862339,2175.0740900039673,2837.2980840206146,2456.166874902589
age_range,1684.5424231290817,2595.9107480049133,2400.622466802597,2762.4295773506165,2470.0567197799683,2181.638746738434,2671.432156562805,2395.2332626240595
um_brand_missing_rate,936.1964881420135,1304.565677165985,1446.2245728969574,1117.5563842058182,1204.040939450264,1397.7467057704926,1685.5509613752365,1298.8402470009667
gender,1315.3886139392853,1213.972591638565,914.1268107891083,1146.3697848320007,632.9516706466675,1180.8965487480164,752.0383865833282,1022.2492010252816
um_brand_cnt,463.77170872688293,1298.971006155014,589.4748427867889,580.6323418617249,697.5811285972595,273.5601818561554,704.4558606147766,658.349581514086
merchant_last_time,22.70419979095459,0.0,0.0,17.54435968399048,0.0,0.0,65.62781000137329,15.125195639474052
um_last_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
um_has_recent_activity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_last_time,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
user_id_merchant_id_te,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
